Bird Cage	Toy	Jayo	33291.78	696	130	2.338461538461537	42400	1	1
Bird Cage	Cage	Photobug	32867.229999999996	658	130	2.692307692307693	67480	2	1
Dog Food	Toy	Npath	26820.760000000006	629	110	3.172727272727273	75770	3	1
Cat Toy	Food	Jayo	28867.719999999983	612	110	2.927272727272725	71330	4	1
Cat Toy	Food	Photobug	24119.749999999993	577	100	2.7	65340	5	1
Bird Cage	Cage	Gigabox	24147.829999999994	561	100	2.679999999999999	55680	6	1
Cat Toy	Toy	Skimia	24788.669999999995	550	100	2.9299999999999993	42520	7	1
Dog Food	Cage	Youspan	26570.899999999998	547	100	3.479999999999998	45050	8	1
Bird Cage	Toy	Dynabox	28122.540000000005	545	110	3.218181818181819	73770	9	1
Bird Cage	Food	Quinu	23877.850000000002	540	100	3.2700000000000036	57830	10	1
