Wikizz	Indonesia	4955.9400000000005	45.99857142857143	60	1	1
Katz	China	3944.0499999999993	51.49933333333333	80	2	1
Wikizz	China	3684.5399999999995	56.72571428571429	71	3	1
Livetube	China	3642.77	63.68272727272727	55	4	1
Jayo	China	3336.92	63.8909090909091	48	5	1
Vidoo	China	3329.5300000000007	53.192727272727275	63	6	0
Janyx	Indonesia	3253.2500000000005	52.62444444444444	49	7	0
Eadel	China	3231.8999999999996	61.01923076923078	71	8	0
Meevee	China	3108.3300000000004	54.05300000000001	55	9	0
Voolia	China	3055.66	61.693	57	10	0
